[2024-01-15 14:32:18] ##teamcity[progressMessage 'Starting test discovery']
[2024-01-15 14:32:19] Test run for /workspace/PaymentService.Tests/bin/Debug/net8.0/PaymentService.Tests.dll (.NETCoreApp,Version=v8.0)
[2024-01-15 14:32:19] Microsoft (R) Test Execution Command Line Tool Version 17.8.0 (x64)
[2024-01-15 14:32:19] Copyright (c) Microsoft Corporation.  All rights reserved.
[2024-01-15 14:32:19] 
[2024-01-15 14:32:20] Starting test execution, please wait...
[2024-01-15 14:32:20] A total of 1 test files matched the specified pattern.
[2024-01-15 14:32:20] ##teamcity[testSuiteStarted name='PaymentService.Tests']
[2024-01-15 14:32:21] ##teamcity[testStarted name='Namespace.Tests.ValidationTests.ValidateEmail' captureStandardOutput='true']
[2024-01-15 14:32:21] ##teamcity[testFinished name='Namespace.Tests.ValidationTests.ValidateEmail' duration='42']
[2024-01-15 14:32:21] ##teamcity[testStarted name='Namespace.Tests.ValidationTests.ValidatePhone' captureStandardOutput='true']
[2024-01-15 14:32:21] ##teamcity[testFinished name='Namespace.Tests.ValidationTests.ValidatePhone' duration='38']
[2024-01-15 14:32:21] ##teamcity[testStarted name='Namespace.Tests.LegacyClientTests.ConnectToLegacyEndpoint' captureStandardOutput='true']
[2024-01-15 14:32:21] WARNING: LegacyClient.Connect() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.SetTimeout() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.EnableRetry() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.SetMaxRetries() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.GetConnectionState() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.IsConnected() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.Disconnect() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.ResetConnection() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.GetLastError() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.ClearError() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.LogMessage() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.SetLogLevel() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.GetLogLevel() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.EnableDebug() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.DisableDebug() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.GetVersion() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.GetBuildDate() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.CheckCompatibility() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.UpgradeConnection() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.DowngradeConnection() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.SendHeartbeat() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.ReceiveHeartbeat() is deprecated and will be removed in v3.0
[2024-01-15 14:32:21] WARNING: LegacyClient.SetHeartbeatInterval() is deprecated and will be removed in v3.0
